point,available_date,prediction_date,wind_speed_100m,wind_direction_100m,temperature,air_density,pressure,precipitation,wind_gust,radiation,wind_speed,wind_direction
1,2016-02-29 06:00:00,2016-03-01 00:00:00,2.9,68.7,-2.4,1.24,964.4,0.0,1.9,0.0,1.3,74.7
1,2016-02-29 06:00:00,2016-03-01 01:00:00,2.6,60.9,-2.9,1.24,964.4,0.0,1.8,0.0,1.2,70.0
1,2016-02-29 06:00:00,2016-03-01 02:00:00,2.4,53.1,-3.3,1.25,964.4,0.0,1.6,0.0,1.1,65.3
1,2016-02-29 06:00:00,2016-03-01 03:00:00,2.1,45.4,-3.8,1.25,964.3,0.0,1.5,0.0,1.0,60.5
1,2016-02-29 06:00:00,2016-03-01 04:00:00,1.8,65.1,-3.8,1.25,964.2,0.0,1.5,0.0,0.9,83.6
1,2016-02-29 06:00:00,2016-03-01 05:00:00,1.6,84.8,-3.8,1.25,964.1,0.0,1.4,0.0,0.9,106.6
1,2016-02-29 06:00:00,2016-03-01 06:00:00,1.3,104.5,-3.8,1.25,963.9,0.0,1.4,0.0,0.9,129.6
1,2016-02-29 06:00:00,2016-03-01 07:00:00,1.1,114.9,-0.6,1.23,964.1,0.0,1.1,17.2,0.8,137.2
1,2016-02-29 06:00:00,2016-03-01 08:00:00,0.8,125.3,2.6,1.22,964.3,0.0,0.9,44.1,0.7,144.9
1,2016-02-29 06:00:00,2016-03-01 09:00:00,0.6,135.6,5.9,1.2,964.4,0.0,0.6,80.0,0.6,152.6
1,2016-02-29 06:00:00,2016-03-01 10:00:00,1.4,189.5,8.2,1.19,964.4,0.0,1.4,126.2,1.1,200.3
1,2016-02-29 06:00:00,2016-03-01 11:00:00,2.1,243.3,10.6,1.18,964.4,0.0,2.3,192.4,1.5,248.1
1,2016-02-29 06:00:00,2016-03-01 12:00:00,2.9,297.1,13.0,1.17,964.3,0.0,3.1,290.0,2.0,295.9
1,2016-02-29 06:00:00,2016-03-01 13:00:00,3.8,294.6,13.1,1.17,964.0,0.0,3.8,420.8,2.6,294.1
1,2016-02-29 06:00:00,2016-03-01 14:00:00,4.7,292.1,13.3,1.17,963.6,0.0,4.6,546.8,3.2,292.2
