point,available_date,prediction_date,wind_speed_100m,wind_direction_100m,temperature,air_density,pressure,precipitation,wind_gust,radiation,wind_speed,wind_direction
1,2016-03-30 06:00:00,2016-03-31 00:00:00,8.1,338.7,3.2,1.2,949.1,0.0,9.7,0.0,3.5,333.3
1,2016-03-30 06:00:00,2016-03-31 01:00:00,7.3,332.7,2.4,1.2,949.5,0.0,8.5,0.0,3.0,323.4
1,2016-03-30 06:00:00,2016-03-31 02:00:00,6.6,326.7,1.5,1.21,950.0,0.0,7.3,0.0,2.4,313.6
1,2016-03-30 06:00:00,2016-03-31 03:00:00,5.8,320.6,0.6,1.21,950.4,0.0,6.1,0.0,1.9,303.8
1,2016-03-30 06:00:00,2016-03-31 04:00:00,6.0,316.9,0.3,1.21,951.0,0.0,6.3,0.0,1.9,299.9
1,2016-03-30 06:00:00,2016-03-31 05:00:00,6.2,313.1,0.1,1.21,951.6,0.0,6.5,0.0,2.0,296.1
1,2016-03-30 06:00:00,2016-03-31 06:00:00,6.4,309.4,-0.1,1.22,952.1,0.0,6.7,0.0,2.0,292.3
1,2016-03-30 06:00:00,2016-03-31 07:00:00,6.4,313.5,1.7,1.21,952.7,0.0,6.9,51.1,2.6,301.3
1,2016-03-30 06:00:00,2016-03-31 08:00:00,6.4,317.6,3.6,1.2,953.2,0.0,7.1,121.4,3.2,310.3
1,2016-03-30 06:00:00,2016-03-31 09:00:00,6.4,321.7,5.5,1.19,953.7,0.0,7.3,190.0,3.8,319.3
1,2016-03-30 06:00:00,2016-03-31 10:00:00,6.5,324.4,6.5,1.19,954.0,0.0,7.1,244.2,4.0,322.4
1,2016-03-30 06:00:00,2016-03-31 11:00:00,6.6,327.0,7.6,1.18,954.4,0.0,7.0,302.2,4.2,325.5
1,2016-03-30 06:00:00,2016-03-31 12:00:00,6.7,329.7,8.7,1.18,954.7,0.0,6.8,390.0,4.4,328.6
1,2016-03-30 06:00:00,2016-03-31 13:00:00,6.9,329.9,9.1,1.18,954.8,0.0,6.8,521.4,4.6,329.0
1,2016-03-30 06:00:00,2016-03-31 14:00:00,7.2,330.1,9.5,1.18,954.9,0.0,6.8,660.7,4.7,329.3
1,2016-03-30 06:00:00,2016-03-31 15:00:00,7.4,330.3,9.9,1.18,955.0,0.0,6.8,760.0,4.9,329.7
1,2016-03-30 06:00:00,2016-03-31 16:00:00,7.1,331.0,8.7,1.18,955.2,0.0,6.7,780.3,4.4,330.2
1,2016-03-30 06:00:00,2016-03-31 17:00:00,6.9,331.6,7.6,1.19,955.4,0.0,6.5,717.9,4.0,330.6
1,2016-03-30 06:00:00,2016-03-31 18:00:00,6.6,332.2,6.5,1.19,955.6,0.0,6.4,578.0,3.6,331.1
1,2016-03-30 06:00:00,2016-03-31 19:00:00,5.5,338.5,3.8,1.2,956.1,0.0,4.9,375.6,2.8,336.6
1,2016-03-30 06:00:00,2016-03-31 20:00:00,4.3,344.8,1.1,1.22,956.5,0.0,3.4,165.0,2.0,342.2
