point,available_date,prediction_date,wind_speed_100m,wind_direction_100m,temperature,air_density,pressure,precipitation,wind_gust,radiation,wind_speed,wind_direction
1,2016-04-13 06:00:00,2016-04-14 00:00:00,9.4,148.8,6.4,1.17,941.8,0.0,12.3,0.0,3.5,141.0
1,2016-04-13 06:00:00,2016-04-14 01:00:00,10.6,157.7,7.0,1.17,940.8,0.0,14.2,0.0,4.4,150.7
1,2016-04-13 06:00:00,2016-04-14 02:00:00,11.9,166.6,7.7,1.17,939.8,0.0,16.2,0.0,5.4,160.3
1,2016-04-13 06:00:00,2016-04-14 03:00:00,13.2,175.5,8.4,1.16,938.8,0.0,18.1,0.0,6.3,170.0
1,2016-04-13 06:00:00,2016-04-14 04:00:00,12.4,180.4,8.3,1.16,938.9,0.0,17.8,0.0,5.7,175.2
1,2016-04-13 06:00:00,2016-04-14 05:00:00,11.5,185.4,8.3,1.16,939.0,0.0,17.4,0.0,5.1,180.5
1,2016-04-13 06:00:00,2016-04-14 06:00:00,10.6,190.4,8.2,1.16,939.2,0.0,17.1,0.0,4.4,185.7
1,2016-04-13 06:00:00,2016-04-14 07:00:00,11.2,197.7,8.7,1.16,939.6,0.0,16.3,11.9,4.9,193.8
1,2016-04-13 06:00:00,2016-04-14 08:00:00,11.8,205.0,9.1,1.16,940.0,0.0,15.5,26.4,5.3,201.8
1,2016-04-13 06:00:00,2016-04-14 09:00:00,12.4,212.3,9.6,1.16,940.5,0.0,14.7,40.0,5.7,209.9
1,2016-04-13 06:00:00,2016-04-14 10:00:00,12.1,215.5,10.2,1.16,940.7,0.0,14.2,53.0,5.9,213.7
1,2016-04-13 06:00:00,2016-04-14 11:00:00,11.9,218.7,10.9,1.15,941.0,0.0,13.7,80.1,6.1,217.5
1,2016-04-13 06:00:00,2016-04-14 12:00:00,11.7,221.9,11.6,1.15,941.3,0.0,13.2,140.0,6.3,221.3
1,2016-04-13 06:00:00,2016-04-14 13:00:00,11.5,225.2,11.8,1.15,941.4,0.0,12.8,242.1,6.3,224.9
1,2016-04-13 06:00:00,2016-04-14 14:00:00,11.4,228.4,12.0,1.15,941.6,0.0,12.5,360.5,6.3,228.5
1,2016-04-13 06:00:00,2016-04-14 15:00:00,11.2,231.6,12.2,1.15,941.8,0.0,12.1,460.0,6.3,232.2
1,2016-04-13 06:00:00,2016-04-14 16:00:00,10.5,231.6,11.5,1.15,942.1,0.0,11.3,510.6,5.8,231.8
1,2016-04-13 06:00:00,2016-04-14 17:00:00,9.7,231.6,10.7,1.16,942.5,0.0,10.6,501.5,5.3,231.5
1,2016-04-13 06:00:00,2016-04-14 18:00:00,8.9,231.6,10.0,1.16,942.9,0.0,9.8,427.0,4.9,231.2
1,2016-04-13 06:00:00,2016-04-14 19:00:00,8.3,224.0,8.6,1.17,943.5,0.0,10.0,291.1,4.1,219.7
1,2016-04-13 06:00:00,2016-04-14 20:00:00,7.8,216.5,7.2,1.17,944.2,0.0,10.2,137.5,3.4,208.1
1,2016-04-13 06:00:00,2016-04-14 21:00:00,7.2,208.9,5.9,1.18,944.8,0.0,10.4,20.0,2.6,196.6
1,2016-04-13 06:00:00,2016-04-14 22:00:00,6.8,201.1,5.5,1.18,945.0,0.0,9.5,0.0,2.5,189.0
1,2016-04-13 06:00:00,2016-04-14 23:00:00,6.3,193.2,5.1,1.18,945.2,0.0,8.5,0.0,2.4,181.4
1,2016-04-13 06:00:00,2016-04-15 00:00:00,5.9,185.4,4.7,1.19,945.3,0.0,7.6,0.0,2.3,173.8
1,2016-04-13 06:00:00,2016-04-15 01:00:00,5.7,184.7,4.3,1.19,945.2,0.0,6.5,0.0,2.2,172.8
1,2016-04-13 06:00:00,2016-04-15 02:00:00,5.5,184.0,4.0,1.19,945.1,0.0,5.5,0.0,2.2,171.8
1,2016-04-13 06:00:00,2016-04-15 03:00:00,5.3,183.2,3.7,1.19,945.0,0.0,4.4,0.0,2.1,170.8
1,2016-04-13 06:00:00,2016-04-15 04:00:00,4.8,176.5,3.3,1.19,944.8,0.0,3.7,0.0,2.0,163.2
1,2016-04-13 06:00:00,2016-04-15 05:00:00,4.3,169.8,2.9,1.19,944.7,0.0,3.0,0.0,1.8,155.6
1,2016-04-13 06:00:00,2016-04-15 06:00:00,3.8,163.0,2.6,1.19,944.5,0.0,2.3,0.0,1.7,148.1
1,2016-04-13 06:00:00,2016-04-15 07:00:00,3.4,154.7,5.3,1.18,944.5,0.0,2.6,69.3,1.7,143.2
1,2016-04-13 06:00:00,2016-04-15 08:00:00,3.0,146.5,8.0,1.17,944.5,0.0,3.0,154.7,1.7,138.4
1,2016-04-13 06:00:00,2016-04-15 09:00:00,2.5,138.2,10.7,1.16,944.5,0.0,3.3,220.0,1.6,133.5
1,2016-04-13 06:00:00,2016-04-15 10:00:00,3.2,126.8,10.1,1.16,944.3,0.0,4.4,238.6,1.8,120.9
1,2016-04-13 06:00:00,2016-04-15 11:00:00,3.9,115.4,9.6,1.16,944.1,0.0,5.5,221.7,1.9,108.3
1,2016-04-13 06:00:00,2016-04-15 12:00:00,4.5,104.0,9.1,1.17,943.9,0.0,6.6,190.0,2.0,95.7
1,2016-04-13 06:00:00,2016-04-15 13:00:00,4.2,130.9,10.1,1.16,943.4,0.0,6.5,161.1,1.8,121.2
1,2016-04-13 06:00:00,2016-04-15 14:00:00,3.9,157.9,11.1,1.16,942.8,0.0,6.3,140.3,1.5,146.6
1,2016-04-13 06:00:00,2016-04-15 15:00:00,3.6,184.8,12.1,1.15,942.2,0.0,6.2,130.0,1.3,172.1
1,2016-04-13 06:00:00,2016-04-15 16:00:00,5.5,205.1,11.4,1.15,942.0,0.0,7.3,129.8,2.3,196.8
1,2016-04-13 06:00:00,2016-04-15 17:00:00,7.4,225.4,10.7,1.16,941.8,0.0,8.4,129.2,3.4,221.6
1,2016-04-13 06:00:00,2016-04-15 18:00:00,9.2,245.7,10.0,1.16,941.6,0.0,9.5,115.0,4.4,246.4
1,2016-04-13 06:00:00,2016-04-15 19:00:00,8.5,229.7,9.0,1.16,942.1,0.0,10.2,79.2,3.8,225.0
1,2016-04-13 06:00:00,2016-04-15 20:00:00,7.7,213.7,8.0,1.17,942.6,0.0,10.8,34.7,3.1,203.7
1,2016-04-13 06:00:00,2016-04-15 21:00:00,6.9,197.7,7.0,1.17,943.0,0.0,11.5,0.0,2.5,182.3
1,2016-04-13 06:00:00,2016-04-15 22:00:00,6.8,196.8,6.7,1.17,943.1,0.0,10.8,0.0,2.5,183.2
1,2016-04-13 06:00:00,2016-04-15 23:00:00,6.7,196.0,6.5,1.18,943.1,0.0,10.2,0.0,2.5,184.2
1,2016-04-13 06:00:00,2016-04-16 00:00:00,6.5,195.1,6.2,1.18,943.2,0.0,9.5,0.0,2.5,185.1
1,2016-04-13 06:00:00,2016-04-16 01:00:00,6.0,192.8,6.6,1.17,943.0,0.0,8.5,0.0,2.3,183.0
1,2016-04-13 06:00:00,2016-04-16 02:00:00,5.4,190.6,7.0,1.17,942.9,0.0,7.5,0.0,2.1,180.9
1,2016-04-13 06:00:00,2016-04-16 03:00:00,4.9,188.3,7.4,1.17,942.7,0.0,6.5,0.0,2.0,178.8
1,2016-04-13 06:00:00,2016-04-16 04:00:00,4.8,181.8,7.4,1.17,942.4,0.0,6.5,0.0,2.0,172.1
1,2016-04-13 06:00:00,2016-04-16 05:00:00,4.7,175.4,7.4,1.17,942.1,0.0,6.5,0.0,2.0,165.5
1,2016-04-13 06:00:00,2016-04-16 06:00:00,4.7,168.9,7.4,1.17,941.8,0.0,6.5,0.0,2.0,158.8
1,2016-04-13 06:00:00,2016-04-16 07:00:00,4.8,166.5,7.8,1.17,941.9,0.0,7.2,5.3,2.0,157.7
1,2016-04-13 06:00:00,2016-04-16 08:00:00,4.9,164.0,8.3,1.17,941.9,0.0,7.8,12.4,2.1,156.5
1,2016-04-13 06:00:00,2016-04-16 09:00:00,5.1,161.6,8.7,1.16,942.0,0.0,8.5,20.0,2.1,155.4
1,2016-04-13 06:00:00,2016-04-16 10:00:00,6.0,169.2,9.2,1.16,942.0,0.0,9.1,27.1,2.7,163.8
1,2016-04-13 06:00:00,2016-04-16 11:00:00,6.9,176.8,9.7,1.16,942.0,0.0,9.8,35.1,3.3,172.3
1,2016-04-13 06:00:00,2016-04-16 12:00:00,7.8,184.4,10.2,1.16,942.0,0.0,10.4,46.0,3.9,180.7
1,2016-04-13 06:00:00,2016-04-16 13:00:00,7.5,188.7,10.5,1.16,941.6,0.0,10.6,61.8,3.8,184.6
1,2016-04-13 06:00:00,2016-04-16 14:00:00,7.2,193.0,10.8,1.15,941.2,0.0,10.7,85.5,3.7,188.4
1,2016-04-13 06:00:00,2016-04-16 15:00:00,6.9,197.3,11.1,1.15,940.8,0.0,10.9,120.0,3.6,192.2
1,2016-04-13 06:00:00,2016-04-16 16:00:00,8.3,205.9,10.9,1.15,940.7,0.0,11.4,164.1,4.2,201.8
1,2016-04-13 06:00:00,2016-04-16 17:00:00,9.6,214.5,10.8,1.15,940.6,0.0,12.0,198.9,4.8,211.4
1,2016-04-13 06:00:00,2016-04-16 18:00:00,11.0,223.2,10.7,1.15,940.5,0.0,12.5,201.0,5.5,220.9
