point,available_date,prediction_date,wind_speed_100m,wind_direction_100m,temperature,air_density,pressure,precipitation,wind_gust,radiation,wind_speed,wind_direction
1,2016-04-14 06:00:00,2016-04-15 00:00:00,5.3,190.2,5.0,1.18,945.6,0.1,4.2,0.0,2.0,177.7
1,2016-04-14 06:00:00,2016-04-15 01:00:00,4.7,184.7,4.7,1.19,945.2,0.1,3.6,0.0,1.9,171.0
1,2016-04-14 06:00:00,2016-04-15 02:00:00,4.2,179.2,4.4,1.19,944.7,0.1,2.9,0.0,1.7,164.3
1,2016-04-14 06:00:00,2016-04-15 03:00:00,3.6,173.7,4.1,1.19,944.2,0.1,2.3,0.0,1.6,157.7
1,2016-04-14 06:00:00,2016-04-15 04:00:00,3.3,153.6,3.9,1.19,943.9,0.1,2.2,0.0,1.6,137.9
1,2016-04-14 06:00:00,2016-04-15 05:00:00,2.9,133.5,3.7,1.19,943.6,0.1,2.1,0.0,1.5,118.1
1,2016-04-14 06:00:00,2016-04-15 06:00:00,2.5,113.4,3.6,1.19,943.2,0.1,2.0,0.0,1.4,98.4
1,2016-04-14 06:00:00,2016-04-15 07:00:00,3.1,86.3,4.6,1.18,943.1,0.1,2.7,10.7,1.7,76.6
1,2016-04-14 06:00:00,2016-04-15 08:00:00,3.6,59.2,5.6,1.18,942.9,0.1,3.5,22.2,2.0,54.8
1,2016-04-14 06:00:00,2016-04-15 09:00:00,4.1,32.2,6.6,1.17,942.8,0.1,4.2,30.0,2.3,33.0
1,2016-04-14 06:00:00,2016-04-15 10:00:00,4.1,55.3,6.9,1.17,942.2,0.1,5.0,31.3,2.2,48.1
1,2016-04-14 06:00:00,2016-04-15 11:00:00,4.0,78.5,7.3,1.17,941.7,0.1,5.7,29.6,2.0,63.1
1,2016-04-14 06:00:00,2016-04-15 12:00:00,4.0,101.7,7.7,1.17,941.1,0.1,6.5,30.0,1.8,78.1
1,2016-04-14 06:00:00,2016-04-15 13:00:00,3.7,137.2,8.5,1.16,940.9,0.1,6.4,36.4,1.7,121.4
1,2016-04-14 06:00:00,2016-04-15 14:00:00,3.4,172.7,9.3,1.16,940.7,0.1,6.4,47.4,1.6,164.7
1,2016-04-14 06:00:00,2016-04-15 15:00:00,3.2,208.2,10.2,1.16,940.5,0.1,6.3,60.0,1.6,208.0
1,2016-04-14 06:00:00,2016-04-15 16:00:00,5.5,212.2,10.5,1.16,940.4,0.1,7.9,71.3,2.5,211.1
1,2016-04-14 06:00:00,2016-04-15 17:00:00,7.8,216.2,10.8,1.15,940.2,0.1,9.6,77.9,3.4,214.1
1,2016-04-14 06:00:00,2016-04-15 18:00:00,10.1,220.2,11.2,1.15,940.0,0.1,11.2,76.0,4.3,217.2
1,2016-04-14 06:00:00,2016-04-15 19:00:00,9.2,211.6,9.9,1.16,940.6,0.1,11.7,63.8,3.8,205.2
1,2016-04-14 06:00:00,2016-04-15 20:00:00,8.3,203.1,8.7,1.16,941.2,0.1,12.3,46.2,3.2,193.2
1,2016-04-14 06:00:00,2016-04-15 21:00:00,7.3,194.6,7.5,1.17,941.7,0.1,12.8,30.0,2.7,181.3
1,2016-04-14 06:00:00,2016-04-15 22:00:00,7.1,191.1,7.1,1.17,941.7,0.1,12.2,0.0,2.6,178.0
1,2016-04-14 06:00:00,2016-04-15 23:00:00,6.8,187.5,6.8,1.17,941.7,0.1,11.6,0.0,2.6,174.7
1,2016-04-14 06:00:00,2016-04-16 00:00:00,6.5,184.0,6.5,1.17,941.7,0.1,11.0,0.0,2.5,171.4
1,2016-04-14 06:00:00,2016-04-16 01:00:00,6.5,185.7,6.8,1.17,941.4,0.1,11.0,0.0,2.6,174.8
1,2016-04-14 06:00:00,2016-04-16 02:00:00,6.4,187.4,7.1,1.17,941.1,0.1,10.9,0.0,2.7,178.1
1,2016-04-14 06:00:00,2016-04-16 03:00:00,6.3,189.2,7.4,1.17,940.9,0.1,10.9,0.0,2.7,181.5
1,2016-04-14 06:00:00,2016-04-16 04:00:00,5.7,186.3,7.0,1.17,940.6,0.1,9.6,0.0,2.4,177.9
1,2016-04-14 06:00:00,2016-04-16 05:00:00,5.1,183.4,6.6,1.17,940.3,0.1,8.2,0.0,2.1,174.3
1,2016-04-14 06:00:00,2016-04-16 06:00:00,4.5,180.5,6.2,1.17,940.1,0.1,6.9,0.0,1.8,170.7
1,2016-04-14 06:00:00,2016-04-16 07:00:00,4.4,186.0,6.9,1.17,940.3,0.1,6.5,16.5,2.0,177.6
1,2016-04-14 06:00:00,2016-04-16 08:00:00,4.2,191.6,7.5,1.17,940.5,0.1,6.2,38.6,2.2,184.5
1,2016-04-14 06:00:00,2016-04-16 09:00:00,4.1,197.1,8.1,1.17,940.8,0.1,5.8,60.0,2.4,191.4
1,2016-04-14 06:00:00,2016-04-16 10:00:00,4.7,200.0,8.8,1.16,941.1,0.1,6.3,78.3,2.8,195.5
1,2016-04-14 06:00:00,2016-04-16 11:00:00,5.4,202.8,9.5,1.16,941.4,0.1,6.7,106.9,3.2,199.7
1,2016-04-14 06:00:00,2016-04-16 12:00:00,6.0,205.7,10.2,1.16,941.8,0.1,7.2,163.0,3.6,203.9
1,2016-04-14 06:00:00,2016-04-16 13:00:00,6.8,217.6,10.8,1.16,941.7,0.1,7.5,256.2,4.1,216.6
1,2016-04-14 06:00:00,2016-04-16 14:00:00,7.5,229.4,11.3,1.15,941.6,0.1,7.9,365.0,4.5,229.3
1,2016-04-14 06:00:00,2016-04-16 15:00:00,8.3,241.3,11.9,1.15,941.5,0.1,8.2,460.0,5.0,242.0
1,2016-04-14 06:00:00,2016-04-16 16:00:00,8.0,246.4,11.1,1.15,941.9,0.1,8.0,514.7,4.6,247.1
1,2016-04-14 06:00:00,2016-04-16 17:00:00,7.6,251.4,10.3,1.16,942.3,0.1,7.9,513.6,4.3,252.2
1,2016-04-14 06:00:00,2016-04-16 18:00:00,7.3,256.5,9.5,1.16,942.7,0.1,7.7,444.0,3.9,257.2
1,2016-04-14 06:00:00,2016-04-16 19:00:00,6.4,258.9,8.3,1.17,943.7,0.1,6.4,305.2,3.2,255.8
1,2016-04-14 06:00:00,2016-04-16 20:00:00,5.5,261.3,7.1,1.17,944.6,0.1,5.1,144.3,2.5,254.4
1,2016-04-14 06:00:00,2016-04-16 21:00:00,4.5,263.7,6.0,1.18,945.6,0.1,3.8,20.0,1.8,253.0
1,2016-04-14 06:00:00,2016-04-16 22:00:00,3.8,260.9,6.2,1.18,946.0,0.1,3.2,0.0,1.6,249.7
1,2016-04-14 06:00:00,2016-04-16 23:00:00,3.1,258.1,6.4,1.18,946.4,0.1,2.7,0.0,1.4,246.5
1,2016-04-14 06:00:00,2016-04-17 00:00:00,2.4,255.3,6.7,1.18,946.8,0.1,2.1,0.0,1.2,243.2
1,2016-04-14 06:00:00,2016-04-17 01:00:00,2.3,275.9,6.7,1.18,947.0,0.1,2.1,0.0,1.1,263.1
1,2016-04-14 06:00:00,2016-04-17 02:00:00,2.2,296.6,6.7,1.18,947.2,0.1,2.2,0.0,1.0,282.9
1,2016-04-14 06:00:00,2016-04-17 03:00:00,2.0,317.2,6.7,1.18,947.4,0.1,2.2,0.0,0.9,302.8
1,2016-04-14 06:00:00,2016-04-17 04:00:00,2.1,219.9,6.4,1.18,947.7,0.1,2.1,0.0,0.9,208.9
1,2016-04-14 06:00:00,2016-04-17 05:00:00,2.2,122.7,6.1,1.18,948.1,0.1,2.1,0.0,1.0,115.0
1,2016-04-14 06:00:00,2016-04-17 06:00:00,2.3,25.5,5.9,1.18,948.5,0.1,2.0,0.0,1.0,21.1
1,2016-04-14 06:00:00,2016-04-17 07:00:00,2.6,45.1,7.0,1.18,949.0,0.1,2.5,58.5,1.3,41.7
1,2016-04-14 06:00:00,2016-04-17 08:00:00,2.8,64.7,8.1,1.18,949.5,0.1,2.9,138.7,1.6,62.3
1,2016-04-14 06:00:00,2016-04-17 09:00:00,3.0,84.3,9.2,1.17,950.1,0.1,3.4,220.0,2.0,82.9
1,2016-04-14 06:00:00,2016-04-17 10:00:00,2.8,82.1,10.3,1.17,950.2,0.1,2.9,285.1,1.8,80.4
1,2016-04-14 06:00:00,2016-04-17 11:00:00,2.6,79.9,11.3,1.16,950.4,0.1,2.5,329.8,1.7,77.9
1,2016-04-14 06:00:00,2016-04-17 12:00:00,2.4,77.7,12.4,1.16,950.6,0.1,2.0,353.0,1.6,75.4
1,2016-04-14 06:00:00,2016-04-17 13:00:00,2.0,68.9,11.6,1.16,950.5,0.1,1.7,354.7,1.4,68.3
1,2016-04-14 06:00:00,2016-04-17 14:00:00,1.6,60.1,10.8,1.17,950.5,0.1,1.5,338.7,1.2,61.3
1,2016-04-14 06:00:00,2016-04-17 15:00:00,1.3,51.3,10.1,1.17,950.5,0.1,1.2,310.0,0.9,54.2
1,2016-04-14 06:00:00,2016-04-17 16:00:00,1.4,48.9,9.4,1.17,950.7,0.1,1.4,272.5,1.0,48.8
1,2016-04-14 06:00:00,2016-04-17 17:00:00,1.5,46.5,8.7,1.18,950.8,0.1,1.5,226.7,1.0,43.3
1,2016-04-14 06:00:00,2016-04-17 18:00:00,1.7,44.0,8.1,1.18,951.0,0.1,1.7,172.0,1.0,37.9
1,2016-04-14 06:00:00,2016-04-17 19:00:00,2.5,61.3,7.1,1.18,951.6,0.1,2.2,110.2,1.3,57.7
1,2016-04-14 06:00:00,2016-04-17 20:00:00,3.2,78.5,6.1,1.19,952.2,0.1,2.8,51.9,1.5,77.4
1,2016-04-14 06:00:00,2016-04-17 21:00:00,4.0,95.7,5.1,1.19,952.8,0.1,3.3,10.0,1.8,97.2
1,2016-04-14 06:00:00,2016-04-17 22:00:00,3.6,102.7,4.4,1.2,952.8,0.1,2.9,0.0,1.7,100.7
1,2016-04-14 06:00:00,2016-04-17 23:00:00,3.3,109.6,3.7,1.2,952.8,0.1,2.5,0.0,1.6,104.2
1,2016-04-14 06:00:00,2016-04-18 00:00:00,2.9,116.6,3.1,1.2,952.8,0.1,2.1,0.0,1.6,107.7
1,2016-04-14 06:00:00,2016-04-18 01:00:00,3.0,112.9,2.9,1.2,952.4,0.1,2.2,0.0,1.6,104.4
1,2016-04-14 06:00:00,2016-04-18 02:00:00,3.2,109.3,2.8,1.2,952.0,0.1,2.3,0.0,1.7,101.1
1,2016-04-14 06:00:00,2016-04-18 03:00:00,3.3,105.7,2.7,1.2,951.6,0.1,2.4,0.0,1.7,97.8
1,2016-04-14 06:00:00,2016-04-18 04:00:00,3.5,104.0,2.7,1.2,951.5,0.1,2.4,0.0,1.7,95.9
1,2016-04-14 06:00:00,2016-04-18 05:00:00,3.6,102.4,2.8,1.2,951.3,0.1,2.4,0.0,1.7,94.1
1,2016-04-14 06:00:00,2016-04-18 06:00:00,3.8,100.7,2.9,1.2,951.2,0.1,2.4,0.0,1.8,92.3
1,2016-04-14 06:00:00,2016-04-18 07:00:00,3.7,103.5,5.1,1.19,951.2,0.1,3.4,57.6,1.9,96.3
1,2016-04-14 06:00:00,2016-04-18 08:00:00,3.7,106.2,7.3,1.18,951.3,0.1,4.5,135.6,2.0,100.3
1,2016-04-14 06:00:00,2016-04-18 09:00:00,3.7,108.9,9.5,1.17,951.4,0.1,5.5,210.0,2.2,104.3
1,2016-04-14 06:00:00,2016-04-18 10:00:00,4.3,122.7,11.3,1.17,951.3,0.1,5.8,263.3,2.7,119.2
1,2016-04-14 06:00:00,2016-04-18 11:00:00,5.0,136.5,13.1,1.16,951.1,0.1,6.0,302.7,3.1,134.0
1,2016-04-14 06:00:00,2016-04-18 12:00:00,5.6,150.3,14.9,1.15,951.0,0.1,6.3,342.0,3.6,148.9
1,2016-04-14 06:00:00,2016-04-18 13:00:00,5.8,148.6,13.8,1.15,950.5,0.1,6.3,388.9,3.4,147.7
1,2016-04-14 06:00:00,2016-04-18 14:00:00,5.9,146.9,12.8,1.16,950.0,0.1,6.3,428.5,3.1,146.5
1,2016-04-14 06:00:00,2016-04-18 15:00:00,6.0,145.2,11.7,1.16,949.6,0.1,6.3,440.0,2.9,145.3
1,2016-04-14 06:00:00,2016-04-18 16:00:00,5.8,120.0,10.9,1.16,949.0,0.1,6.6,408.3,2.6,120.2
1,2016-04-14 06:00:00,2016-04-18 17:00:00,5.6,94.8,10.0,1.17,948.5,0.1,7.0,341.4,2.3,95.1
1,2016-04-14 06:00:00,2016-04-18 18:00:00,5.4,69.6,9.1,1.17,948.0,0.1,7.3,253.0,2.0,69.9
1,2016-04-14 06:00:00,2016-04-18 19:00:00,5.7,72.6,8.9,1.17,947.7,0.1,7.9,157.2,2.2,72.7
1,2016-04-14 06:00:00,2016-04-18 20:00:00,5.9,75.6,8.7,1.17,947.4,0.1,8.4,70.6,2.3,75.4
1,2016-04-14 06:00:00,2016-04-18 21:00:00,6.1,78.7,8.6,1.17,947.0,0.1,9.0,10.0,2.5,78.2
1,2016-04-14 06:00:00,2016-04-18 22:00:00,6.9,86.3,8.7,1.17,946.1,0.1,9.8,0.0,2.9,84.2
1,2016-04-14 06:00:00,2016-04-18 23:00:00,7.7,93.9,8.9,1.17,945.1,0.1,10.6,0.0,3.4,90.3
1,2016-04-14 06:00:00,2016-04-19 00:00:00,8.5,101.6,9.1,1.17,944.1,0.1,11.4,0.0,3.8,96.4
1,2016-04-14 06:00:00,2016-04-19 01:00:00,8.8,111.9,9.1,1.16,943.4,0.1,11.9,0.0,3.7,106.0
1,2016-04-14 06:00:00,2016-04-19 02:00:00,9.1,122.1,9.2,1.16,942.7,0.1,12.4,0.0,3.6,115.7
1,2016-04-14 06:00:00,2016-04-19 03:00:00,9.5,132.4,9.2,1.16,942.0,0.1,12.9,0.0,3.6,125.4
1,2016-04-14 06:00:00,2016-04-19 04:00:00,8.8,140.2,9.5,1.16,941.8,0.1,12.5,0.0,3.3,132.8
1,2016-04-14 06:00:00,2016-04-19 05:00:00,8.2,148.0,9.7,1.16,941.6,0.1,12.1,0.0,2.9,140.2
1,2016-04-14 06:00:00,2016-04-19 06:00:00,7.6,155.8,10.0,1.16,941.4,0.1,11.7,0.0,2.6,147.6
1,2016-04-14 06:00:00,2016-04-19 07:00:00,8.1,167.2,11.3,1.15,941.8,0.1,11.7,55.7,3.5,160.9
